Species i;Species j;10;50;90
0;0;1.0;1.0;1.0
0;1;0.501164911355;0.6067021829;0.71557993908
0;2;0.331451271205;0.43294476035;0.55022803256
0;3;0.61951153498;0.7882757129;0.991338421555
0;4;0.406728060545;0.58978227905;0.9488641815750001
0;5;0.060287305565000004;0.1612987482;0.25161113311999994
0;6;0.59433031155;0.7752856469;0.9657719844899999
0;7;-0.33857238335499995;-0.14262032930000001;-0.047499225545000016
1;0;0.276693985475;0.5544633436999999;0.84703182723
1;1;1.0;1.0;1.0
1;2;0.200217332525;0.26576174645;0.36885932614
1;3;0.472963491935;0.7181481605;0.9823897081899997
1;4;0.16142144074500003;0.8305740696000001;1.3539834118399998
1;5;-0.00757692512;0.09985797995000001;0.203845874815
1;6;0.414221232635;0.5230822106;0.6674794990549999
1;7;-0.23766410628;-0.0842794998;0.015634878454999793
2;0;0.411257783805;0.69806769945;1.0144920901099999
2;1;-0.240692119365;0.0182928787;0.23030318195
2;2;1.0;1.0;1.0
2;3;0.22567047532;0.38896503135000005;0.5874716797299998
2;4;0.525898110575;0.81603556525;1.1118409705749994
2;5;-0.09634287853000001;0.1296785338;0.30768862547
2;6;0.25787012542;0.4149385238;0.5702855341999997
2;7;-0.559690368865;-0.26618825570000004;-0.09950342343000018
3;0;0.54289040645;0.7412923975500001;0.9101199210700001
3;1;0.571669242015;0.7197662891500001;0.8613325993849998
3;2;0.3387230252300001;0.4421449375;0.5641173687750001
3;3;1.0;1.0;1.0
3;4;0.298219575715;0.6239995136;1.0334732047749995
3;5;0.009771665530000001;0.16979197470000001;0.3456444274249998
3;6;0.47372693821;0.6013139717;0.781795316425
3;7;-0.11899130570500001;0.046153308750000004;0.19640381939499996
4;0;0.7182911144599999;0.8518870810500001;1.040197541415
4;1;0.6040191644499999;0.7162029444;0.8669627281549999
4;2;0.38837490904500005;0.5041935659500001;0.63858382055
4;3;0.733620634005;0.9220660625500001;1.14839241958
4;4;1.0;1.0;1.0
4;5;0.41527836178;0.57339770365;0.7933400828249999
4;6;0.5104836901900001;0.641643526;0.7849691855050001
4;7;-0.24991542105;-0.053681181450000004;0.057593563279999954
5;0;-0.34323074471000004;-0.011860493950000002;0.23166679261
5;1;0.23497425655999998;0.3576386388;0.461024392155
5;2;0.38766690158500006;0.5129915548;0.638612694005
5;3;0.16192266160000002;0.34634794465;0.5685600392399996
5;4;0.79032523458;1.0576975629;1.2652676928949997
5;5;1.0;1.0;1.0
5;6;0.64089107873;0.8138598290500001;1.01189587927
5;7;-0.436188683;-0.1518633896;-0.030364731680000062
6;0;0.563984079965;0.81292298815;1.0907320916399996
6;1;-0.19099306051;0.09166714535;0.29400401952
6;2;-0.16165101052000003;0.09917924925;0.35661460320999994
6;3;0.18734796694;0.43171856425;0.6747024530749999
6;4;0.276095331215;0.4054819069;0.589888327755
6;5;0.21649167257000002;0.4671141187;0.7362174741299998
6;6;1.0;1.0;1.0
6;7;-0.332000762365;-0.14724767570000002;-0.026450084025000025
7;0;-0.015895469255;0.23561592335;0.514488748195
7;1;-0.09703773324500001;0.21949189565;0.41687145316999996
7;2;0.23571636287000003;0.34513827915;0.496818856055
7;3;-0.040605173774999996;0.3455085009;0.5696443879799997
7;4;0.17469309074;0.5566716090000001;0.8286737654999998
7;5;-0.53629745109;-0.05595845445;0.24005757914999998
7;6;0.13432679314;0.35431959820000003;0.5202939467649998
7;7;1.0;1.0;1.0
